"","part_id","hh_id","part_age","part_gender","part_occupation","part_occupation_detail","part_education","part_education_length","participant_school_year","participant_nationality","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","country","hh_size","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","sday_id","type","day","month","year","dayofweek","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi","hh_type","contacts","home","work","school","transport","leisure","otherplace","physical_contact","non_physical_contact","part_age_group"
"444",5323,"Mo08HH5323",58,"M",NA,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",1,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,75685,NA,50,55,"M",0,0,0,0,1,0,3,2,2,"Single person household",8,6,0,0,1,3,0,4,4,"45-64"
"445",5324,"Mo08HH5324",45,"F",NA,NA,5,16,NA,"UK","",NA,NA,"","",NA,3,1,3,"United Kingdom",4,16,17,42,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060502,1,2,5,2006,2,75693,57,NA,NA,"M",0,1,0,0,0,0,2,1,1,"Two or more person household",28,6,22,0,0,0,0,12,16,"45-64"
"446",5325,"Mo08HH5325",35,"M",5,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",6,35,2,35,15,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060502,1,2,5,2006,2,75721,12,NA,NA,"M",1,0,0,0,0,0,1,1,5,"Two or more person household",10,10,0,0,0,0,0,5,5,"25-44"
"447",5326,"Mo08HH5326",57,"M",3,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",1,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060502,1,2,5,2006,2,75731,14,NA,NA,"M",1,0,0,0,0,0,1,1,2,"Single person household",11,6,0,0,1,3,1,NA,NA,"45-64"
"448",5327,"Mo08HH5327",39,"F",1,2,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",3,11,14,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060502,1,2,5,2006,2,75742,11,NA,NA,"M",1,0,0,0,0,0,1,1,5,"Two or more person household",23,3,18,0,0,0,1,2,21,"25-44"
"449",5328,"Mo08HH5328",29,"M",5,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060502,1,2,5,2006,2,75765,26,NA,NA,"F",0,0,0,0,0,1,4,2,2,"Single person household",3,1,0,0,0,1,1,0,3,"25-44"
"450",5329,"Mo08HH5329",38,"F",1,4,4,13,NA,"UK","",NA,NA,"","",NA,3,1,3,"United Kingdom",1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060428,1,28,4,2006,5,75768,NA,20,25,"F",0,0,0,1,0,0,NA,1,1,"Single person household",15,3,4,5,2,2,1,5,10,"25-44"
"451",5330,"Mo08HH5330",40,"M",1,2,5,16,NA,"UK","",NA,NA,"","",NA,4,1,4,"United Kingdom",2,40,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060428,1,28,4,2006,5,75783,18,NA,NA,"F",1,0,0,0,0,0,1,2,4,"Two or more person household",11,2,1,1,3,2,2,NA,NA,"25-44"
"452",5331,"Mo08HH5331",54,"M",1,1,5,16,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",3,54,33,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060428,1,28,4,2006,5,75794,18,NA,NA,"M",0,0,0,0,0,1,2,1,2,"Two or more person household",15,1,0,0,5,2,7,NA,NA,"45-64"
"453",5332,"Mo08HH5332",63,"F",3,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",1,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060428,1,28,4,2006,5,75809,30,NA,NA,"M",0,0,0,1,0,0,4,2,1,"Single person household",17,5,2,4,4,2,0,7,10,"45-64"
