"","hh_id","part_id","panel_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","frequency_multi","phys_contact","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","duration_multi","month","year","sday_id","dayofweek","day","wave","contacts","home","work","school","transport","leisure","otherplace","physical_contact","non_physical_contact","part_age","part_gender","part_age_group","hh_type"
"55","HHA1_10069","A1_10069",10069,"A1_10069_001",NA,75,79,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,71,"F","65 and over",1
"56","HHA1_10070","A1_10070",10070,"A1_10070_001",NA,35,44,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,3,2,0,0,0,0,1,0,3,65,"F","65 and over",1
"57","HHA1_10071","A1_10071",10071,"A1_10071_001",NA,55,64,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,62,"M","45-64",1
"58","HHA1_10072","A1_10072",10072,"A1_10072_001",NA,55,64,"M",1,2,1,0,0,0,0,0,3,3,2020,"2020.03.24",2,24,1,5,3,0,0,0,0,2,1,4,31,"M","25-44",1
"59","HHA1_10073","A1_10073",10073,"A1_10073_001",NA,65,69,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,69,"F","65 and over",1
"60","HHA1_10074","A1_10074",10074,"A1_10074_001",NA,55,64,"M",4,2,0,0,0,0,0,1,2,3,2020,"2020.03.24",2,24,1,2,0,0,0,0,0,2,0,2,64,"F","45-64",0
"61","HHA1_10076","A1_10076",10076,"A1_10076_001",NA,75,79,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,2,2,0,0,0,0,0,0,2,73,"F","65 and over",1
"62","HHA1_10077","A1_10077",10077,"A1_10077_001",NA,45,54,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,3,3,0,0,0,0,0,3,0,41,"F","25-44",1
"63","HHA1_10078","A1_10078",10078,"A1_10078_001",NA,45,54,"M",1,2,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,0,2,49,"M","45-64",1
"64","HHA1_10081","A1_10081",10081,"A1_10081_001",NA,65,69,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,2,2,0,0,0,0,0,0,2,65,"F","65 and over",1
"65","HHA1_10082","A1_10082",10082,"A1_10082_001",NA,35,44,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,0,2,68,"F","65 and over",1
"66","HHA1_10084","A1_10084",10084,"A1_10084_001",NA,70,74,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,1,1,0,0,0,0,0,1,0,75,"M","65 and over",1
"67","HHA1_10085","A1_10085",10085,"A1_10085_001",NA,70,74,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,41,"M","25-44",1
"68","HHA1_10086","A1_10086",10086,"A1_10086_001",NA,55,64,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,55,"M","45-64",1
"69","HHA1_10087","A1_10087",10087,"A1_10087_001",NA,55,64,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,3,3,0,0,0,0,0,1,2,63,"M","45-64",1
"70","HHA1_10088","A1_10088",10088,"A1_10088_001",NA,35,44,"M",4,2,1,0,0,0,0,0,1,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,66,"M","65 and over",0
"71","HHA1_10089","A1_10089",10089,"A1_10089_001",NA,65,69,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,70,"F","65 and over",1
"72","HHA1_10091","A1_10091",10091,"A1_10091_001",NA,65,69,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,65,"M","65 and over",1
"73","HHA1_10092","A1_10092",10092,"A1_10092_001",NA,70,74,"M",2,2,0,0,0,0,0,1,4,3,2020,"2020.03.24",2,24,1,1,0,0,0,0,0,1,0,1,71,"M","65 and over",0
"74","HHA1_10093","A1_10093",10093,"A1_10093_001",NA,45,54,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,54,"F","45-64",1
"75","HHA1_10095","A1_10095",10095,"A1_10095_001",NA,25,34,"F",NA,2,0,0,0,0,0,1,1,3,2020,"2020.03.23",1,23,1,1,0,0,0,0,0,1,0,1,79,"M","65 and over",0
"76","HHA1_10096","A1_10096",10096,"A1_10096_001",NA,55,64,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,2,2,0,0,0,0,0,1,1,62,"M","45-64",1
"77","HHA1_10097","A1_10097",10097,"A1_10097_001",NA,45,54,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,40,"M","25-44",1
"78","HHA1_10098","A1_10098",10098,"A1_10098_001",NA,35,44,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,2,2,0,0,0,0,0,2,0,39,"M","25-44",1
